system,graph_type,voltage,voltage_label,voltage_class,A,gamma,degree,fitted_ccdf,probability_mass,cumulative_probability_mass,remaining_tail_probability
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,9,0.003193021814513915,0.0017287073636232885,0.9985356855491093,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,10,0.0014643144508906265,0.0007927822987015763,0.9993284678478109,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,11,0.0006715321521890502,0.00036356863304917063,0.9996920364808601,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,12,0.00030796351913987954,0.00016673196557709618,0.9998587684464373,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,13,0.00014123155356278336,7.646299987997682e-05,0.9999352314463172,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,14,6.476855368280654e-05,3.5065803551280423e-05,0.9999702972498685,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,15,2.9702750131526117e-05,1.6081118719211962e-05,0.9999863783685877,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,16,1.3621631412314153e-05,7.374774083907892e-06,0.9999937531426716,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,17,6.246857328406261e-06,3.382059030737932e-06,0.9999971352017023,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,18,2.864798297668329e-06,1.5510066013215229e-06,0.9999986862083037,6.02502669313459e-07
Hungary,simple,120.0,<200 kV,<200 kV,0.748470429081274,1.2827410606722338,19,1.3137916963468062e-06,7.112890270333471e-07,0.9999993974973307,6.02502669313459e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,1,1.0,0.5820370672184021,0.5820370672184021,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,2,0.41796293278159785,0.14043834301522168,0.7224754102336237,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,3,0.2775245897663762,0.09325011974957845,0.8157255299832021,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,4,0.18427447001679773,0.06191745535169292,0.877642985334895,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,5,0.1223570146651048,0.04111277591411584,0.9187557612490109,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,6,0.08124423875098896,0.027298608021979844,0.9460543692709907,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,7,0.05394563072900912,0.018126093005601147,0.9641804622765919,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,8,0.03581953772340797,0.012035604430202528,0.9762160667067945,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,9,0.023783933293205443,0.007991560782323513,0.984207627489118,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,10,0.01579237251088193,0.005306342868606269,0.9895139703577244,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,11,0.01048602964227566,0.003523376147183859,0.9930373465049083,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,12,0.006962653495091802,0.0023394981783008634,0.9953768446832091,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,13,0.004623155316790938,0.0015534111311526267,0.9969302558143617,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,14,0.0030697441856383117,0.0010314545934553662,0.997961710407817,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,15,0.0020382895921829455,0.0006848789460976524,0.9986465893539147,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,16,0.001353410646085293,0.0004547550360277967,0.9991013443899425,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,17,0.0008986556100574964,0.00030195430005692733,0.9994032986899994,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,18,0.0005967013100005691,0.00020049563413146183,0.9996037943241309,8.518756698992893e-07
Hungary,simple,220.0,220 kV,200-299 kV,0.41796293278159785,2.4421025711583,19,0.00039620567586910727,0.0001331277590622104,0.9997369220831931,8.518756698992893e-07
